iter	Passed	Remaining
0	36	36796
1	70	34990
2	104	34681
3	124	31005
4	158	31561
5	179	29677
6	215	30541
7	254	31565
8	290	32015
9	326	32368
10	361	32504
11	396	32641
12	430	32699
13	465	32764
14	500	32833
15	526	32351
16	561	32474
17	597	32599
18	633	32721
19	670	32849
20	706	32922
21	742	32988
22	776	33003
23	814	33111
24	849	33134
25	885	33173
26	904	32585
27	937	32557
28	972	32565
29	1007	32579
30	1046	32699
31	1080	32696
32	1116	32708
33	1150	32679
34	1184	32662
35	1219	32646
36	1253	32631
37	1287	32599
38	1323	32602
39	1357	32584
40	1393	32586
41	1428	32572
42	1462	32550
43	1497	32526
44	1531	32495
45	1565	32459
46	1599	32438
47	1634	32419
48	1669	32397
49	1703	32371
50	1739	32369
51	1778	32428
52	1814	32426
53	1849	32402
54	1885	32393
55	1920	32380
56	1956	32362
57	1991	32344
58	2027	32329
59	2064	32337
60	2098	32307
61	2136	32318
62	2179	32413
63	2226	32556
64	2270	32654
65	2316	32777
66	2358	32849
67	2396	32841
68	2432	32816
69	2468	32793
70	2513	32882
71	2562	33021
72	2604	33079
73	2649	33152
74	2693	33217
75	2728	33177
76	2766	33165
77	2802	33123
78	2844	33159
79	2886	33194
80	2928	33224
81	2970	33252
82	3012	33277
83	3051	33272
84	3087	33237
85	3123	33192
86	3157	33136
87	3192	33081
88	3226	33023
89	3263	33002
90	3303	32994
91	3340	32966
92	3377	32936
93	3414	32911
94	3451	32879
95	3489	32857
96	3528	32844
97	3570	32865
98	3618	32929
99	3667	33009
100	3715	33067
101	3760	33105
102	3797	33073
103	3835	33043
104	3873	33017
105	3912	32996
106	3949	32961
107	3984	32909
108	4029	32934
109	4071	32943
110	4114	32953
111	4156	32954
112	4194	32921
113	4228	32866
114	4264	32819
115	4299	32766
116	4334	32713
117	4369	32659
118	4403	32604
119	4438	32549
120	4473	32496
121	4507	32442
122	4542	32389
123	4577	32338
124	4612	32288
125	4647	32238
126	4683	32192
127	4718	32145
128	4753	32096
129	4788	32047
130	4823	31999
131	4858	31950
132	4893	31899
133	4928	31852
134	4962	31798
135	4997	31748
136	5033	31706
137	5067	31655
138	5101	31602
139	5136	31551
140	5171	31508
141	5207	31462
142	5242	31415
143	5276	31368
144	5311	31320
145	5346	31275
146	5381	31225
147	5415	31173
148	5450	31131
149	5488	31103
150	5527	31077
151	5566	31056
152	5606	31037
153	5642	30997
154	5678	30957
155	5716	30925
156	5752	30888
157	5790	30857
158	5826	30818
159	5863	30784
160	5900	30746
161	5936	30707
162	5972	30668
163	6007	30625
164	6043	30584
165	6079	30546
166	6115	30505
167	6153	30473
168	6189	30433
169	6225	30392
170	6262	30358
171	6299	30324
172	6336	30289
173	6372	30250
174	6409	30213
175	6445	30175
176	6480	30133
177	6517	30097
178	6554	30061
179	6590	30021
180	6626	29985
181	6664	29954
182	6701	29918
183	6737	29878
184	6775	29848
185	6812	29815
186	6850	29781
187	6891	29765
188	6932	29746
189	6974	29735
190	7014	29709
191	7052	29680
192	7090	29647
193	7128	29618
194	7168	29591
195	7205	29557
196	7243	29523
197	7278	29483
198	7314	29442
199	7350	29402
200	7387	29364
201	7424	29329
202	7459	29286
203	7495	29247
204	7531	29206
205	7566	29164
206	7604	29131
207	7642	29101
208	7678	29062
209	7714	29022
210	7750	28980
211	7790	28957
212	7828	28925
213	7866	28893
214	7904	28859
215	7943	28832
216	7981	28800
217	8018	28765
218	8054	28724
219	8091	28686
220	8127	28647
221	8164	28610
222	8201	28578
223	8236	28535
224	8272	28493
225	8308	28453
226	8344	28415
227	8380	28377
228	8417	28340
229	8453	28301
230	8490	28263
231	8526	28224
232	8561	28183
233	8597	28142
234	8633	28105
235	8670	28069
236	8707	28033
237	8743	27994
238	8778	27951
239	8813	27909
240	8850	27874
241	8888	27840
242	8927	27810
243	8963	27772
244	9001	27739
245	9039	27705
246	9074	27665
247	9110	27625
248	9147	27588
249	9183	27549
250	9220	27514
251	9256	27475
252	9291	27433
253	9328	27397
254	9364	27358
255	9399	27318
256	9434	27276
257	9470	27236
258	9505	27196
259	9542	27160
260	9579	27124
261	9615	27084
262	9651	27045
263	9687	27007
264	9722	26965
265	9758	26928
266	9794	26888
267	9830	26851
268	9867	26814
269	9902	26774
270	9938	26735
271	9973	26694
272	10011	26660
273	10047	26622
274	10087	26593
275	10125	26561
276	10164	26529
277	10200	26493
278	10237	26455
279	10279	26432
280	10319	26403
281	10357	26371
282	10392	26331
283	10427	26289
284	10463	26251
285	10498	26210
286	10533	26167
287	10567	26125
288	10602	26084
289	10637	26043
290	10672	26001
291	10708	25964
292	10743	25924
293	10779	25884
294	10818	25853
295	10859	25827
296	10896	25792
297	10931	25752
298	10967	25713
299	11005	25679
300	11041	25642
301	11076	25601
302	11111	25560
303	11147	25522
304	11185	25488
305	11226	25461
306	11265	25430
307	11303	25395
308	11341	25362
309	11378	25326
310	11415	25289
311	11450	25250
312	11485	25209
313	11521	25170
314	11556	25130
315	11591	25089
316	11625	25047
317	11660	25007
318	11695	24968
319	11731	24930
320	11767	24892
321	11804	24855
322	11840	24817
323	11876	24780
324	11912	24741
325	11948	24703
326	11985	24667
327	12024	24634
328	12061	24599
329	12098	24563
330	12136	24530
331	12173	24492
332	12210	24457
333	12248	24423
334	12288	24394
335	12327	24361
336	12364	24325
337	12400	24287
338	12435	24248
339	12470	24207
340	12506	24169
